date,DIS,FB,SBUX,WMT,WST
2014-06-09,79.6302,62.88,34.8232,68.1345,41.4433
2014-06-10,78.9501,65.77,34.5546,67.7894,41.2598
2014-06-11,78.5403,65.781,34.6472,67.3824,41.0183
2014-06-12,77.1336,64.2901,34.2581,67.002,40.2553
2014-06-13,77.1336,64.5,34.5962,66.6039,39.869
2014-06-16,77.5994,64.19,34.7815,66.6569,40.0332
2014-06-17,77.469,64.4,34.8834,66.3473,40.0235
2014-06-18,77.8602,65.6,34.9992,66.9755,40.4002
2014-06-19,78.0372,64.3415,35.7728,67.1259,40.7382
2014-06-20,77.1522,64.5,35.4809,66.9578,41.1342
2014-06-23,77.0963,65.37,35.5412,67.0551,40.8251
2014-06-24,77.0218,65.72,35.8654,67.2143,40.1298
2014-06-25,78.1583,67.44,36.185,66.9047,40.3519
2014-06-26,78.6707,67.13,36.1572,66.2765,40.3712
2014-06-27,79.4625,67.6,36.1016,66.6569,40.7092
2014-06-30,79.8724,67.29,35.8422,66.4181,40.7382
2014-07-01,80.5524,68.06,36.1665,66.6039,42.0131
2014-07-02,80.5245,66.45,36.2174,66.9047,41.4046
2014-07-03,80.8971,66.29,36.6204,67.0197,41.9358
2014-07-07,80.6642,65.29,36.449,67.3028,41.337
2014-07-08,79.9842,62.76,36.3888,67.816,40.8831
2014-07-09,81.2511,64.97,36.8011,68.3114,40.8058
2014-07-10,80.9157,64.8725,36.5231,68.1787,40.6899
2014-07-11,80.9437,66.34,36.4073,67.9664,40.97
2014-07-14,80.8226,67.9,36.3888,67.7275,40.603
2014-07-15,80.2543,67.165,36.5417,67.9841,39.8497
2014-07-16,79.5091,67.66,36.4676,68.0018,38.9708
2014-07-17,79.211,66.4099,35.7774,67.7806,38.9515
2014-07-18,79.9376,68.4199,36.1016,68.2053,38.9515
2014-07-21,79.8724,69.4,35.9488,67.9221,38.7675
2014-07-22,80.3102,69.27,36.4722,67.8071,39.3097
2014-07-23,80.1519,71.29,36.6575,68.1168,39.4646
2014-07-24,80.8598,74.98,37.2643,67.5505,39.1645
2014-07-25,80.3289,75.19,36.4722,67.2143,39.058
2014-07-28,81.1859,74.92,36.2962,66.9843,38.9999
2014-07-29,80.3009,73.71,36.4305,66.7454,38.8256
2014-07-30,81.2418,74.677,36.5463,66.1615,38.9999
2014-07-31,80.0028,72.65,35.9812,65.0998,39.4549
2014-08-01,79.537,72.36,35.657,65.0644,38.9612
2014-08-04,81.2697,73.51,35.9117,65.0644,39.2032
2014-08-05,80.8133,72.69,35.6887,64.8874,39.3872
2014-08-06,80.6642,72.47,35.8467,66.0808,39.6195
2014-08-07,79.6581,73.17,35.6515,65.8582,38.9031
